,Activation,# of Neurons in hidden unit 1,# of Neurons in hidden unit 2,Alpha,Learning Rate,Accuracy Score,Macro Precision,Weighted Precision,Macro Recall,Weighted Recall,Macro F1,Weighted F1,Time Taken
118,logistic,5,50,0.001,0.01,0.5794573643410853,0.28972868217054265,0.33577083708911726,0.5,0.5794573643410853,0.36687116564417177,0.42517239739382695,2.9778
119,logistic,5,50,0.001,0.001,0.8192829457364341,0.8155348739385335,0.818687098424973,0.8121522586810104,0.8192829457364341,0.8136451382946663,0.8187961155673678,9.61652
120,logistic,10,5,0.0001,0.1,0.5794573643410853,0.28972868217054265,0.33577083708911726,0.5,0.5794573643410853,0.36687116564417177,0.42517239739382695,0.73405
121,logistic,10,5,0.0001,0.01,0.5794573643410853,0.28972868217054265,0.33577083708911726,0.5,0.5794573643410853,0.36687116564417177,0.42517239739382695,0.70183
122,logistic,10,5,0.0001,0.001,0.8168604651162791,0.814200727112482,0.8161834408971307,0.8076923076923077,0.8168604651162791,0.8102941176470588,0.8159028727770178,1.95817
123,logistic,10,5,0.001,0.1,0.5794573643410853,0.28972868217054265,0.33577083708911726,0.5,0.5794573643410853,0.36687116564417177,0.42517239739382695,0.52199
124,logistic,10,5,0.001,0.01,0.5794573643410853,0.28972868217054265,0.33577083708911726,0.5,0.5794573643410853,0.36687116564417177,0.42517239739382695,0.68537
125,logistic,10,5,0.001,0.001,0.8260658914728682,0.8218767407315715,0.8257802675586889,0.820611716474269,0.8260658914728682,0.8212144492358058,0.8258946640997955,2.87548
126,logistic,10,10,0.0001,0.1,0.5794573643410853,0.28972868217054265,0.33577083708911726,0.5,0.5794573643410853,0.36687116564417177,0.42517239739382695,0.63126
127,logistic,10,10,0.0001,0.01,0.8025678294573644,0.8000211322216546,0.8108694009659764,0.8073657583650571,0.8025678294573644,0.800648943293989,0.8037570650796044,3.46907
128,logistic,10,10,0.0001,0.001,0.8178294573643411,0.8173496285645818,0.817661898100933,0.8061587781082873,0.8178294573643411,0.8101158784841842,0.8161977387550771,2.74084
129,logistic,10,10,0.001,0.1,0.5794573643410853,0.28972868217054265,0.33577083708911726,0.5,0.5794573643410853,0.36687116564417177,0.42517239739382695,0.72136
130,logistic,10,10,0.001,0.01,0.7858527131782945,0.8186834350865706,0.8075589755969894,0.755028281676248,0.7858527131782945,0.7624368781560922,0.7742893378586885,3.38142
131,logistic,10,10,0.001,0.001,0.8236434108527132,0.8213065990966177,0.8230485860420707,0.8146509871615061,0.8236434108527132,0.8173202614379085,0.8227212848963875,3.07758
132,logistic,10,20,0.0001,0.1,0.5794573643410853,0.28972868217054265,0.33577083708911726,0.5,0.5794573643410853,0.36687116564417177,0.42517239739382695,1.16708
133,logistic,10,20,0.0001,0.01,0.8108042635658915,0.805642164609405,0.8120800674904983,0.8084696684801874,0.8108042635658915,0.8068451198222191,0.8112397023871075,3.77335
134,logistic,10,20,0.0001,0.001,0.8175872093023255,0.8127981384663776,0.820536144546136,0.8177979979347441,0.8175872093023255,0.8145181082969442,0.8183096907066056,3.92153
135,logistic,10,20,0.001,0.1,0.5794573643410853,0.28972868217054265,0.33577083708911726,0.5,0.5794573643410853,0.36687116564417177,0.42517239739382695,0.89679
136,logistic,10,20,0.001,0.01,0.5794573643410853,0.28972868217054265,0.33577083708911726,0.5,0.5794573643410853,0.36687116564417177,0.42517239739382695,0.78547
137,logistic,10,20,0.001,0.001,0.8219476744186046,0.8191168658877584,0.8213015840009762,0.8135037297905461,0.8219476744186046,0.8158191627398758,0.8211582114267897,2.81461
138,logistic,10,50,0.0001,0.1,0.5794573643410853,0.28972868217054265,0.33577083708911726,0.5,0.5794573643410853,0.36687116564417177,0.42517239739382695,1.41673
139,logistic,10,50,0.0001,0.01,0.5843023255813954,0.7197909407665505,0.6979636982416335,0.5060763219949755,0.5843023255813954,0.38144278043934765,0.43773544609636256,1.69156
140,logistic,10,50,0.0001,0.001,0.8229166666666666,0.82608867707638,0.8242792520078827,0.8085737018941788,0.8229166666666666,0.8140170940170941,0.8204823428079243,11.59074
141,logistic,10,50,0.001,0.1,0.5794573643410853,0.28972868217054265,0.33577083708911726,0.5,0.5794573643410853,0.36687116564417177,0.42517239739382695,2.94283
142,logistic,10,50,0.001,0.01,0.5794573643410853,0.28972868217054265,0.33577083708911726,0.5,0.5794573643410853,0.36687116564417177,0.42517239739382695,2.91182
143,logistic,10,50,0.001,0.001,0.8238856589147286,0.8239947863229706,0.8239244645353413,0.8121744139451013,0.8238856589147286,0.8163347626640816,0.8222527888772531,9.70362
144,logistic,20,5,0.0001,0.1,0.5794573643410853,0.28972868217054265,0.33577083708911726,0.5,0.5794573643410853,0.36687116564417177,0.42517239739382695,0.70131
145,logistic,20,5,0.0001,0.01,0.8214631782945736,0.8249450858079688,0.822986139556865,0.8067666029622551,0.8214631782945736,0.8123226955331257,0.8189046457982299,4.61365
146,logistic,20,5,0.0001,0.001,0.8197674418604651,0.8191771275434362,0.8195659289409974,0.8083839372408798,0.8197674418604651,0.812250169762909,0.8182203035353023,2.67772
147,logistic,20,5,0.001,0.1,0.5794573643410853,0.28972868217054265,0.33577083708911726,0.5,0.5794573643410853,0.36687116564417177,0.42517239739382695,0.60534
148,logistic,20,5,0.001,0.01,0.5794573643410853,0.28972868217054265,0.33577083708911726,0.5,0.5794573643410853,0.36687116564417177,0.42517239739382695,0.70104
149,logistic,20,5,0.001,0.001,0.8195251937984496,0.8225174788849061,0.8208164918686883,0.8050153738267343,0.8195251937984496,0.8104129253288828,0.8170180613687015,3.30757
150,logistic,20,10,0.0001,0.1,0.5794573643410853,0.28972868217054265,0.33577083708911726,0.5,0.5794573643410853,0.36687116564417177,0.42517239739382695,1.14309
151,logistic,20,10,0.0001,0.01,0.8168604651162791,0.8173847179178909,0.8170602746746293,0.8041378327142703,0.8168604651162791,0.8085913953565396,0.8149136678068765,3.93566
152,logistic,20,10,0.0001,0.001,0.8183139534883721,0.8197582095221163,0.8188937643048387,0.8049180833192053,0.8183139534883721,0.8097462989018379,0.8161622594141283,3.37097
153,logistic,20,10,0.001,0.1,0.5794573643410853,0.28972868217054265,0.33577083708911726,0.5,0.5794573643410853,0.36687116564417177,0.42517239739382695,0.73454
154,logistic,20,10,0.001,0.01,0.5794573643410853,0.28972868217054265,0.33577083708911726,0.5,0.5794573643410853,0.36687116564417177,0.42517239739382695,0.96069
155,logistic,20,10,0.001,0.001,0.8221899224806202,0.8176736111111111,0.8220823912575366,0.8172672348689178,0.8221899224806202,0.817467141155197,0.8221330215007959,2.67046
156,logistic,20,20,0.0001,0.1,0.5794573643410853,0.28972868217054265,0.33577083708911726,0.5,0.5794573643410853,0.36687116564417177,0.42517239739382695,1.11818
157,logistic,20,20,0.0001,0.01,0.5794573643410853,0.28972868217054265,0.33577083708911726,0.5,0.5794573643410853,0.36687116564417177,0.42517239739382695,0.78493
158,logistic,20,20,0.0001,0.001,0.8127422480620154,0.824922057233809,0.8194117435671218,0.7922115577269855,0.8127422480620154,0.7997094449230537,0.8078286461188363,3.20371
